Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
Female,Loyal Customer,61,Personal Travel,Eco,467,4,4,4,4,4,4,4,5,5,5,5,4,5,4,0.0,2.0,satisfied
Female,Loyal Customer,48,Personal Travel,Eco,592,5,1,5,5,3,4,4,4,4,4,4,4,4,5,9.0,9.0,satisfied
Male,Loyal Customer,39,Business travel,Business,2462,1,2,2,2,4,4,3,1,1,1,1,4,1,2,0.0,13.0,neutral or dissatisfied
Male,Loyal Customer,49,Personal Travel,Eco,2007,5,5,5,2,4,5,3,4,3,2,5,3,5,4,20.0,13.0,satisfied
Female,disloyal Customer,35,Business travel,Business,1715,3,3,3,5,4,3,3,4,3,4,4,3,5,4,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Business,2776,5,3,5,2,5,5,5,5,4,4,4,4,5,5,0.0,0.0,satisfied
Male,disloyal Customer,22,Business travel,Business,2226,5,0,5,2,3,5,3,3,1,1,1,4,4,3,0.0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,2067,1,3,3,3,4,3,3,2,2,2,1,3,2,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Eco,1891,1,1,1,1,1,1,1,1,4,5,3,4,2,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,61,Business travel,Eco Plus,651,3,3,3,3,1,2,3,3,3,3,3,3,3,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Business,412,2,2,2,2,5,5,4,4,4,4,4,5,4,4,11.0,12.0,satisfied
Male,Loyal Customer,14,Business travel,Business,4221,1,4,4,4,1,1,1,1,3,1,4,2,4,1,39.0,61.0,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco,1877,2,4,2,1,3,2,3,3,5,5,3,4,4,3,0.0,6.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,2390,4,4,4,4,4,3,5,4,4,4,4,3,4,5,0.0,0.0,satisfied
Female,Loyal Customer,42,Business travel,Business,2757,1,1,5,1,2,4,4,5,5,5,5,3,5,5,3.0,0.0,satisfied
Female,Loyal Customer,47,Business travel,Business,1099,5,5,5,5,2,5,4,4,4,4,4,5,4,3,0.0,0.0,satisfied
Male,disloyal Customer,38,Business travel,Eco,1915,3,3,3,4,2,3,2,2,3,2,4,4,3,2,32.0,20.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,528,5,5,5,5,4,4,4,4,4,4,4,3,4,4,0.0,0.0,satisfied
Male,Loyal Customer,30,Business travel,Business,2630,1,1,5,1,5,5,5,5,5,3,4,4,5,5,6.0,0.0,satisfied
Female,Loyal Customer,36,Business travel,Eco,2638,4,1,4,4,4,3,4,4,1,1,4,2,1,4,0.0,0.0,satisfied
Male,disloyal Customer,21,Business travel,Eco,1139,4,0,4,5,5,4,5,5,4,5,4,4,5,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,3575,0,5,0,3,5,5,5,5,5,3,5,5,5,5,0.0,0.0,satisfied
Male,Loyal Customer,62,Personal Travel,Eco,2293,2,1,2,3,5,2,5,5,3,1,3,3,2,5,1.0,0.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,1635,4,4,4,4,2,5,4,4,4,3,4,5,4,3,5.0,0.0,satisfied
Male,Loyal Customer,32,Personal Travel,Eco,2310,2,5,2,2,3,2,3,3,5,2,5,5,4,3,97.0,94.0,neutral or dissatisfied
Female,disloyal Customer,28,Business travel,Business,2333,5,5,5,1,2,5,2,2,5,4,3,5,4,2,1.0,0.0,satisfied
Male,Loyal Customer,25,Personal Travel,Eco,3385,4,1,4,3,1,4,1,1,3,1,2,1,3,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,61,Business travel,Business,463,4,4,4,4,4,5,4,2,2,2,2,3,2,3,69.0,51.0,satisfied
Male,Loyal Customer,43,Business travel,Eco Plus,1325,3,2,5,2,3,3,3,3,2,2,4,1,4,3,33.0,47.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,1639,1,1,1,1,2,5,5,4,4,4,4,3,4,3,0.0,1.0,satisfied
Female,Loyal Customer,68,Personal Travel,Eco,1142,1,1,1,1,3,5,5,4,4,4,4,5,4,5,37.0,29.0,satisfied
Female,Loyal Customer,39,Business travel,Eco,2656,2,2,2,2,2,2,2,2,4,2,4,1,4,2,39.0,35.0,neutral or dissatisfied
Female,Loyal Customer,34,Business travel,Business,404,3,4,4,4,2,3,3,3,3,3,3,2,3,2,84.0,112.0,neutral or dissatisfied
Male,Loyal Customer,39,Personal Travel,Eco,2972,4,4,4,4,1,4,5,1,5,2,5,4,4,1,0.0,0.0,satisfied
Male,Loyal Customer,42,Business travel,Business,2896,3,1,3,3,4,5,5,4,4,4,4,3,4,4,52.0,48.0,satisfied
Male,Loyal Customer,13,Personal Travel,Eco,2263,2,5,2,3,1,2,1,1,5,4,5,4,5,1,3.0,0.0,neutral or dissatisfied
Female,disloyal Customer,19,Business travel,Eco,1509,4,2,4,3,5,4,5,5,2,1,4,3,4,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Business,2643,5,5,5,5,1,5,1,5,5,5,5,5,5,2,0.0,0.0,satisfied
Female,Loyal Customer,44,Business travel,Eco,903,3,2,5,5,4,3,1,3,3,3,3,1,3,5,0.0,0.0,satisfied
Female,Loyal Customer,56,Business travel,Business,1405,5,5,5,5,4,4,5,5,5,5,5,3,5,4,0.0,0.0,satisfied
Male,Loyal Customer,46,Business travel,Eco,2312,2,4,4,4,2,2,2,2,4,3,4,4,4,2,0.0,6.0,neutral or dissatisfied
Female,Loyal Customer,70,Personal Travel,Eco Plus,1453,4,3,4,2,1,5,4,4,4,4,4,5,4,4,0.0,5.0,neutral or dissatisfied
Male,Loyal Customer,17,Business travel,Eco,3046,4,1,3,1,4,4,5,4,2,5,2,2,3,4,0.0,0.0,satisfied
Male,Loyal Customer,32,Personal Travel,Eco,1502,3,3,3,2,2,3,2,2,5,1,1,2,1,2,9.0,27.0,neutral or dissatisfied
Female,Loyal Customer,21,Business travel,Business,2839,5,5,5,5,4,4,4,4,3,5,5,5,4,4,0.0,0.0,satisfied
Male,Loyal Customer,28,Business travel,Business,1136,5,5,5,5,4,4,4,4,5,5,5,3,3,4,98.0,102.0,satisfied
Male,disloyal Customer,27,Business travel,Eco,2219,2,2,2,5,4,2,4,4,1,2,5,3,5,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,9,Personal Travel,Eco,1100,1,1,1,1,4,5,4,5,5,5,5,5,5,3,3.0,8.0,satisfied
Female,Loyal Customer,10,Personal Travel,Eco,1529,2,2,2,2,5,5,5,5,3,2,4,3,4,5,0.0,8.0,satisfied
Male,Loyal Customer,57,Business travel,Business,6604,4,4,4,4,3,3,3,5,3,4,4,3,4,3,4.0,13.0,satisfied
Male,Loyal Customer,48,Business travel,Business,3351,5,5,5,5,3,5,4,4,4,4,4,3,4,4,5.0,0.0,satisfied
Female,Loyal Customer,25,Personal Travel,Eco,2043,4,5,4,1,1,4,3,1,3,2,4,5,5,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,63,Business travel,Business,2069,0,5,0,2,3,2,3,1,1,1,1,4,1,1,0.0,0.0,satisfied
Male,Loyal Customer,43,Business travel,Business,2253,5,5,5,5,3,4,4,2,2,2,2,5,2,5,0.0,0.0,satisfied
Female,Loyal Customer,30,Business travel,Business,3616,4,4,4,4,4,4,4,4,3,2,5,3,4,4,0.0,0.0,satisfied
Female,Loyal Customer,35,Business travel,Eco,1857,4,1,1,1,4,3,4,4,4,2,3,3,3,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,Personal Travel,Eco Plus,2814,5,1,1,1,5,5,4,5,5,3,1,5,4,5,39.0,17.0,satisfied
Female,Loyal Customer,46,Business travel,Business,2456,4,4,2,4,2,1,3,5,5,5,5,1,5,2,0.0,0.0,satisfied
Male,Loyal Customer,28,Personal Travel,Eco,1137,2,4,2,1,2,2,2,2,2,4,3,2,3,2,17.0,5.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,1017,1,1,1,1,4,4,5,5,5,5,5,5,5,4,4.0,0.0,satisfied
Male,Loyal Customer,44,Personal Travel,Eco,1894,3,5,3,3,4,3,5,4,5,5,4,3,4,4,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,23,Business travel,Eco,1864,1,1,1,4,1,1,1,1,2,4,3,2,4,1,116.0,99.0,neutral or dissatisfied
Male,Loyal Customer,47,Personal Travel,Eco,1643,3,5,5,2,4,5,3,4,4,3,4,4,5,4,28.0,41.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,1603,5,5,5,5,4,5,4,5,5,5,5,3,5,4,0.0,0.0,satisfied
Female,disloyal Customer,35,Business travel,Eco,1926,1,1,1,3,1,1,1,1,4,5,4,1,3,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,Business travel,Business,494,3,4,4,4,1,3,3,3,3,3,3,2,3,4,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,37,Personal Travel,Eco Plus,2097,2,3,2,5,5,2,5,5,2,5,5,3,5,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Personal Travel,Eco,1663,5,5,1,5,2,5,5,5,5,5,5,4,5,5,0.0,0.0,satisfied
Male,disloyal Customer,23,Business travel,Eco,1299,0,1,0,2,3,0,3,3,1,2,2,4,4,3,0.0,0.0,satisfied
Male,Loyal Customer,32,Business travel,Business,3580,1,3,3,3,1,1,1,1,3,5,3,2,3,1,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Business,1216,0,0,0,4,1,0,1,1,4,2,5,4,5,1,0.0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Business,5101,1,5,5,5,1,1,1,1,3,2,3,3,3,1,117.0,108.0,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Business,514,1,1,1,1,3,4,4,4,4,4,4,5,4,4,0.0,0.0,satisfied
Male,disloyal Customer,26,Business travel,Eco,1662,2,4,2,3,5,2,5,5,1,1,5,4,1,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,307,2,3,2,2,2,1,2,5,5,4,5,5,5,4,0.0,0.0,satisfied
Male,Loyal Customer,56,Personal Travel,Eco,2897,2,2,2,3,5,2,5,5,1,4,4,3,3,5,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,49,Personal Travel,Eco,96,1,1,1,1,2,4,5,4,4,4,4,4,4,3,0.0,0.0,satisfied
Female,Loyal Customer,65,Business travel,Business,2036,3,4,4,4,2,4,4,3,3,3,3,1,3,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,80,0,4,0,3,2,4,5,3,3,3,3,4,3,4,0.0,0.0,satisfied
Female,Loyal Customer,40,Business travel,Business,798,5,5,5,5,4,5,5,5,5,5,5,3,5,5,0.0,0.0,satisfied
Male,Loyal Customer,37,Business travel,Business,3277,3,4,3,4,3,3,3,3,3,3,3,4,3,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,20,Business travel,Eco Plus,2248,2,3,5,3,2,2,1,2,3,4,3,3,4,2,86.0,65.0,neutral or dissatisfied
Male,Loyal Customer,21,Business travel,Business,2568,1,1,1,1,5,5,5,5,5,4,4,5,5,5,3.0,0.0,satisfied
Female,Loyal Customer,23,Personal Travel,Eco,2254,5,5,5,5,1,2,3,5,5,5,5,4,5,2,8.0,0.0,satisfied
Male,disloyal Customer,22,Business travel,Eco,2202,3,4,3,4,1,3,1,1,4,2,5,5,5,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,16,Personal Travel,Eco,2477,4,3,4,4,5,4,5,5,2,4,4,4,4,5,22.0,14.0,neutral or dissatisfied
Female,Loyal Customer,28,Personal Travel,Eco,1786,5,5,5,5,2,4,5,4,4,4,4,3,4,4,0.0,1.0,satisfied
Female,Loyal Customer,27,Business travel,Business,4413,2,4,4,4,2,2,2,2,1,5,1,3,2,2,38.0,29.0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,1888,3,3,3,3,5,3,5,5,5,4,4,3,4,5,8.0,40.0,neutral or dissatisfied
Male,Loyal Customer,18,Business travel,Business,2346,4,4,4,4,4,4,4,4,5,3,5,3,4,4,0.0,0.0,satisfied
Female,Loyal Customer,30,Business travel,Eco,2466,4,3,4,3,4,4,4,4,4,2,4,3,1,4,0.0,0.0,satisfied
Female,Loyal Customer,33,Personal Travel,Eco,2401,3,4,3,3,5,5,4,5,5,5,5,4,5,5,0.0,0.0,satisfied
Female,Loyal Customer,23,Business travel,Business,3816,3,3,3,3,3,3,3,3,2,3,4,1,3,3,38.0,26.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,3397,5,5,5,5,2,5,4,5,5,5,5,4,5,3,21.0,42.0,satisfied
Male,disloyal Customer,24,Business travel,Eco,2585,3,3,3,2,4,3,4,4,5,4,5,5,5,4,23.0,19.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Business,3707,2,2,2,2,3,5,5,2,2,2,2,4,2,4,0.0,0.0,satisfied
Female,Loyal Customer,60,Business travel,Business,3835,2,2,2,2,5,5,4,5,5,5,5,3,5,3,0.0,10.0,satisfied
Male,Loyal Customer,36,Business travel,Business,2974,0,0,0,4,3,4,5,5,5,5,5,5,5,4,0.0,3.0,satisfied
Male,Loyal Customer,60,Business travel,Business,1591,4,4,4,4,1,5,4,4,4,4,4,3,4,2,0.0,0.0,satisfied
Female,Loyal Customer,12,Personal Travel,Eco,2761,2,2,2,2,4,4,5,5,5,5,5,3,5,5,102.0,99.0,satisfied
Female,Loyal Customer,60,Business travel,Business,373,3,3,3,3,2,5,5,5,5,5,5,4,5,5,10.0,4.0,satisfied
Female,Loyal Customer,59,Personal Travel,Eco,70,2,2,2,2,2,4,5,4,4,4,4,3,4,5,0.0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Business,1132,3,5,5,5,3,3,3,3,3,3,3,1,3,4,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Eco,1709,3,3,2,4,3,2,3,3,3,3,3,4,3,3,0.0,6.0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,2027,2,2,2,1,3,2,3,3,1,5,4,3,4,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Eco,1998,1,5,5,5,1,1,1,1,3,5,4,1,4,1,9.0,40.0,neutral or dissatisfied
Male,disloyal Customer,38,Business travel,Business,1698,4,4,4,1,3,4,3,3,3,5,5,5,4,3,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Eco,1432,3,1,3,3,5,3,5,5,3,3,3,3,3,5,73.0,109.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,3734,5,5,5,5,4,4,4,5,5,5,5,4,5,3,3.0,3.0,satisfied
Male,Loyal Customer,8,Personal Travel,Eco,3651,2,1,2,4,2,2,1,2,3,3,4,1,3,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,1051,5,5,5,5,2,2,5,5,5,5,5,1,5,1,0.0,0.0,satisfied
Female,Loyal Customer,43,Personal Travel,Eco,569,1,1,1,1,5,4,5,4,4,4,4,3,4,4,6.0,0.0,satisfied
Female,Loyal Customer,40,Personal Travel,Business,706,4,4,4,4,5,5,5,5,3,4,5,3,5,5,0.0,0.0,satisfied
Female,Loyal Customer,52,Business travel,Business,249,2,2,2,2,5,4,5,4,4,4,4,5,4,4,0.0,0.0,satisfied
Female,Loyal Customer,70,Personal Travel,Eco,77,3,3,1,3,4,5,5,4,4,4,4,4,4,3,0.0,0.0,satisfied
Female,Loyal Customer,32,Business travel,Eco,2263,4,5,5,5,4,4,4,4,3,4,4,3,1,4,0.0,0.0,satisfied
Female,disloyal Customer,59,Business travel,Business,1432,2,2,2,2,5,2,1,5,3,3,4,3,4,5,55.0,74.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,2877,1,1,1,1,2,3,3,5,5,5,5,3,5,2,0.0,0.0,satisfied
Male,disloyal Customer,25,Business travel,Eco,2079,2,3,2,3,5,2,1,5,1,3,3,2,4,5,51.0,60.0,neutral or dissatisfied
Female,disloyal Customer,28,Business travel,Eco,2329,3,3,3,3,4,3,5,4,1,1,3,4,4,4,6.0,0.0,neutral or dissatisfied
Male,Loyal Customer,64,Business travel,Eco Plus,1451,3,2,4,4,3,3,3,3,4,3,4,2,3,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,59,Business travel,Eco,273,4,4,4,4,3,4,2,4,4,4,4,2,4,3,0.0,0.0,satisfied
Male,Loyal Customer,46,Business travel,Business,2053,5,5,1,5,3,1,5,4,4,4,4,3,4,3,0.0,0.0,satisfied
Female,Loyal Customer,49,Business travel,Business,2321,5,5,5,5,5,4,4,4,4,4,4,5,4,4,0.0,0.0,satisfied
Female,disloyal Customer,25,Business travel,Eco,1991,3,4,4,3,3,4,3,3,4,1,4,3,4,3,51.0,59.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,3683,2,2,2,2,2,4,3,2,2,2,2,2,2,1,0.0,1.0,neutral or dissatisfied
Male,Loyal Customer,23,Business travel,Business,4283,2,2,2,2,4,4,4,4,2,5,3,5,1,4,8.0,5.0,satisfied
Male,Loyal Customer,58,Personal Travel,Eco,1426,1,5,1,1,1,1,1,1,5,2,4,5,4,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,16,Personal Travel,Business,2345,4,5,4,2,1,4,1,1,4,2,5,3,5,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,20,Business travel,Business,3435,3,3,3,3,4,4,4,4,5,4,4,5,4,4,0.0,0.0,satisfied
Female,Loyal Customer,8,Personal Travel,Eco,1535,1,1,1,1,4,4,4,3,4,5,4,4,5,4,0.0,4.0,satisfied
Male,Loyal Customer,51,Personal Travel,Eco,1886,3,3,1,2,3,1,3,3,3,1,2,4,2,3,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,49,Business travel,Eco,2930,1,1,1,1,1,1,1,1,2,2,1,3,5,1,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Business,1378,5,0,5,3,3,5,3,3,3,2,4,5,5,3,105.0,127.0,satisfied
Male,disloyal Customer,22,Business travel,Eco,2440,4,3,3,3,2,3,2,2,4,5,5,4,4,2,0.0,0.0,satisfied
Male,Loyal Customer,36,Business travel,Business,2272,2,5,5,5,2,3,3,2,2,2,2,3,2,2,10.0,0.0,neutral or dissatisfied
Male,Loyal Customer,60,Business travel,Business,2781,3,3,3,3,5,5,4,3,3,4,3,3,3,4,44.0,41.0,satisfied
Male,Loyal Customer,46,Business travel,Business,3533,4,4,4,4,3,1,3,3,3,3,3,1,3,2,0.0,0.0,satisfied
Female,Loyal Customer,51,Business travel,Eco,989,4,5,5,5,2,5,4,4,4,4,4,3,4,2,0.0,0.0,satisfied
Female,Loyal Customer,49,Business travel,Business,2696,3,3,3,3,2,4,5,5,5,5,5,3,5,3,1.0,4.0,satisfied
Male,Loyal Customer,55,Personal Travel,Business,233,3,3,3,4,2,3,3,1,1,3,1,2,1,4,15.0,14.0,neutral or dissatisfied
Female,Loyal Customer,54,Personal Travel,Eco,1273,5,2,5,4,3,4,4,4,4,5,4,4,4,1,8.0,0.0,satisfied
Male,Loyal Customer,60,Business travel,Eco,2304,1,3,3,3,1,1,1,1,1,2,4,3,4,1,42.0,39.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,251,0,1,1,4,3,5,4,2,2,2,2,3,2,4,9.0,2.0,satisfied
Male,disloyal Customer,23,Business travel,Business,1952,0,0,0,5,5,0,5,5,5,5,5,5,5,5,0.0,0.0,satisfied
Female,Loyal Customer,19,Personal Travel,Eco,1257,4,4,5,4,1,2,4,3,3,3,3,4,3,1,0.0,0.0,satisfied
Male,Loyal Customer,52,Personal Travel,Eco,1288,4,3,4,4,3,4,3,3,2,5,1,3,1,3,5.0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Eco Plus,1653,2,1,1,1,3,2,3,3,3,2,3,1,4,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,49,Personal Travel,Eco,649,3,3,3,3,5,5,4,5,5,5,5,3,5,5,13.0,17.0,satisfied
Female,Loyal Customer,13,Personal Travel,Eco,6792,0,5,0,1,0,1,1,3,4,5,5,1,3,1,3.0,0.0,satisfied
Female,Loyal Customer,50,Business travel,Business,2631,2,2,2,2,3,5,5,5,5,5,5,4,5,3,0.0,0.0,satisfied
Male,Loyal Customer,23,Business travel,Business,1049,3,3,3,3,4,4,3,4,4,3,3,3,2,4,0.0,0.0,satisfied
Female,disloyal Customer,18,Business travel,Eco,1920,2,0,2,1,3,2,3,3,2,4,5,3,1,3,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,1735,3,3,3,4,5,3,5,5,3,3,4,3,4,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Personal Travel,Eco,2785,0,4,0,3,3,0,3,3,3,3,1,3,5,3,0.0,0.0,satisfied
Male,Loyal Customer,43,Personal Travel,Eco,2521,1,4,2,4,4,2,4,4,4,4,5,3,5,4,1.0,9.0,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,3461,3,3,5,3,5,4,4,4,4,4,4,4,4,5,7.0,1.0,satisfied
Female,Loyal Customer,33,Business travel,Business,1519,5,5,5,5,2,5,4,4,4,5,4,3,4,3,13.0,8.0,satisfied
Female,Loyal Customer,39,Personal Travel,Eco,1741,4,3,4,3,5,4,2,5,1,1,5,5,5,5,2.0,0.0,satisfied
Female,Loyal Customer,16,Personal Travel,Eco,1977,2,2,3,2,4,4,4,4,3,1,4,4,3,4,0.0,0.0,satisfied
Female,Loyal Customer,29,Business travel,Business,4982,3,3,3,3,4,4,4,4,4,4,4,4,1,4,9.0,0.0,satisfied
Female,Loyal Customer,40,Business travel,Business,393,1,1,5,1,5,4,5,3,3,3,3,3,3,5,0.0,0.0,satisfied
Female,disloyal Customer,46,Business travel,Eco Plus,1991,4,4,4,3,1,4,1,1,4,3,2,5,4,1,2.0,0.0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,3475,3,3,3,3,4,5,5,3,3,3,3,1,3,1,0.0,0.0,satisfied
Female,disloyal Customer,25,Business travel,Eco,1477,2,5,2,4,3,2,3,3,2,5,1,2,5,3,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Business,1460,4,2,4,2,4,4,4,4,5,4,5,4,4,4,5.0,3.0,satisfied
Male,Loyal Customer,40,Business travel,Business,2206,4,4,4,4,5,4,5,5,5,5,5,4,5,4,0.0,0.0,satisfied
Female,Loyal Customer,43,Business travel,Business,762,2,2,2,2,5,4,5,4,4,4,4,5,4,4,2.0,1.0,satisfied
Female,Loyal Customer,47,Business travel,Business,1347,1,5,1,1,4,4,5,5,5,5,5,4,5,4,5.0,0.0,satisfied
Male,Loyal Customer,51,Business travel,Eco Plus,2555,4,1,1,1,4,4,4,4,2,1,2,2,3,4,76.0,57.0,neutral or dissatisfied
Male,Loyal Customer,61,Business travel,Eco,1188,4,2,2,2,4,4,4,4,1,1,2,3,4,4,0.0,0.0,satisfied
Female,Loyal Customer,42,Business travel,Business,444,2,2,2,2,5,5,3,5,5,4,5,3,5,3,0.0,0.0,satisfied
Male,Loyal Customer,7,Personal Travel,Eco,2187,1,2,1,3,2,1,2,2,2,4,4,3,4,2,122.0,118.0,neutral or dissatisfied
Male,disloyal Customer,28,Business travel,Business,2377,1,1,1,1,5,1,1,5,4,2,4,5,4,5,24.0,0.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,54,5,5,4,5,4,1,4,4,4,4,5,4,4,2,39.0,42.0,satisfied
Male,Loyal Customer,40,Business travel,Business,2209,3,3,3,3,2,5,4,4,4,5,4,3,4,5,0.0,0.0,satisfied
Female,disloyal Customer,38,Business travel,Eco,1508,4,0,3,1,4,3,4,4,2,3,1,1,3,4,0.0,0.0,satisfied
Male,disloyal Customer,44,Business travel,Eco,2167,2,5,2,3,2,2,2,2,3,5,3,1,2,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,63,Personal Travel,Eco,495,5,4,5,3,3,4,4,4,4,5,4,4,4,4,0.0,0.0,satisfied
Female,Loyal Customer,62,Personal Travel,Eco,83,1,1,1,1,2,4,5,5,5,5,5,4,5,4,0.0,0.0,satisfied
Female,Loyal Customer,51,Personal Travel,Eco,2522,5,4,2,4,4,3,1,5,5,5,5,1,5,3,5.0,2.0,satisfied
Female,Loyal Customer,23,Personal Travel,Eco,2031,2,2,4,2,2,4,5,4,4,5,4,4,4,5,0.0,0.0,satisfied
Female,Loyal Customer,53,Business travel,Business,2261,3,5,5,5,2,3,4,3,3,3,3,2,3,2,30.0,19.0,neutral or dissatisfied
Male,Loyal Customer,16,Personal Travel,Eco Plus,3055,3,3,3,4,1,3,1,1,4,2,4,2,3,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,37,Business travel,Business,2711,2,4,4,4,3,3,3,2,2,2,2,4,2,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,24,Personal Travel,Eco,1995,4,2,2,2,4,4,4,4,4,2,2,2,1,4,0.0,0.0,satisfied
Female,Loyal Customer,35,Business travel,Eco,1106,1,5,5,5,1,1,1,1,3,2,2,2,2,1,66.0,61.0,neutral or dissatisfied
Female,Loyal Customer,68,Personal Travel,Eco Plus,409,5,5,5,5,2,5,4,4,4,4,4,5,4,4,0.0,0.0,satisfied
Female,disloyal Customer,37,Business travel,Eco,1654,2,4,2,3,3,2,3,3,4,4,4,2,3,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,12,Personal Travel,Eco,1893,1,4,1,4,5,1,5,5,2,5,4,4,4,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,1565,1,1,1,1,2,4,5,3,3,4,3,4,3,4,12.0,9.0,satisfied
Female,Loyal Customer,36,Business travel,Eco,2339,4,4,4,4,4,4,4,4,2,2,2,4,4,4,0.0,0.0,satisfied
Male,Loyal Customer,10,Personal Travel,Eco,1683,3,5,3,1,1,3,1,1,3,3,4,4,4,1,25.0,55.0,neutral or dissatisfied
Male,Loyal Customer,59,Personal Travel,Eco,2197,3,2,3,4,5,3,5,5,3,1,3,3,4,5,4.0,0.0,neutral or dissatisfied
Female,disloyal Customer,55,Business travel,Eco,1229,1,1,0,4,2,0,2,2,1,1,4,2,4,2,37.0,28.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,329,3,3,3,3,3,5,4,5,5,5,5,5,5,3,0.0,0.0,satisfied
Male,Loyal Customer,39,Business travel,Business,2756,1,1,1,1,2,4,5,2,2,2,2,4,2,5,0.0,0.0,satisfied
Female,Loyal Customer,21,Business travel,Business,2481,2,2,2,2,4,4,4,4,5,2,3,3,4,4,0.0,2.0,satisfied
Female,disloyal Customer,17,Business travel,Business,2497,4,2,4,5,2,4,2,2,4,4,3,4,4,2,5.0,0.0,satisfied
Male,Loyal Customer,57,Business travel,Business,291,3,2,2,2,5,3,4,3,3,3,3,2,3,2,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,38,Business travel,Business,1718,4,4,4,2,4,4,1,4,5,4,5,5,4,4,0.0,0.0,satisfied
